Región,Lista/Candidato,Partido,Votos,Porcentaje
DE ARICA Y PARINACOTA,UNIDAD POR CHILE,,0,"0,00%"
DE ARICA Y PARINACOTA,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DE ARICA Y PARINACOTA,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DE ARICA Y PARINACOTA,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DE ARICA Y PARINACOTA,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DE ARICA Y PARINACOTA,Válidamente Emitidos,,0,"0,00%"
DE ARICA Y PARINACOTA,Votos Nulos,,0,"0,00%"
DE ARICA Y PARINACOTA,Votos en Blanco,,0,"0,00%"
DE ARICA Y PARINACOTA,Total Votación,,0,"0,00%"
DE TARAPACA,UNIDAD POR CHILE,,0,"0,00%"
DE TARAPACA,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DE TARAPACA,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DE TARAPACA,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DE TARAPACA,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DE TARAPACA,Válidamente Emitidos,,0,"0,00%"
DE TARAPACA,Votos Nulos,,0,"0,00%"
DE TARAPACA,Votos en Blanco,,0,"0,00%"
DE TARAPACA,Total Votación,,0,"0,00%"
DE ANTOFAGASTA,UNIDAD POR CHILE,,0,"0,00%"
DE ANTOFAGASTA,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DE ANTOFAGASTA,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DE ANTOFAGASTA,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DE ANTOFAGASTA,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DE ANTOFAGASTA,Válidamente Emitidos,,0,"0,00%"
DE ANTOFAGASTA,Votos Nulos,,0,"0,00%"
DE ANTOFAGASTA,Votos en Blanco,,0,"0,00%"
DE ANTOFAGASTA,Total Votación,,0,"0,00%"
DE ATACAMA,UNIDAD POR CHILE,,0,"0,00%"
DE ATACAMA,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DE ATACAMA,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DE ATACAMA,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DE ATACAMA,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DE ATACAMA,Válidamente Emitidos,,0,"0,00%"
DE ATACAMA,Votos Nulos,,0,"0,00%"
DE ATACAMA,Votos en Blanco,,0,"0,00%"
DE ATACAMA,Total Votación,,0,"0,00%"
DE COQUIMBO,UNIDAD POR CHILE,,0,"0,00%"
DE COQUIMBO,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DE COQUIMBO,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DE COQUIMBO,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DE COQUIMBO,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DE COQUIMBO,Válidamente Emitidos,,0,"0,00%"
DE COQUIMBO,Votos Nulos,,0,"0,00%"
DE COQUIMBO,Votos en Blanco,,0,"0,00%"
DE COQUIMBO,Total Votación,,0,"0,00%"
DE VALPARAISO,UNIDAD POR CHILE,,0,"0,00%"
DE VALPARAISO,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DE VALPARAISO,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DE VALPARAISO,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DE VALPARAISO,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DE VALPARAISO,Válidamente Emitidos,,0,"0,00%"
DE VALPARAISO,Votos Nulos,,0,"0,00%"
DE VALPARAISO,Votos en Blanco,,0,"0,00%"
DE VALPARAISO,Total Votación,,0,"0,00%"
METROPOLITANA DE SANTIAGO,UNIDAD POR CHILE,,0,"0,00%"
METROPOLITANA DE SANTIAGO,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
METROPOLITANA DE SANTIAGO,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
METROPOLITANA DE SANTIAGO,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
METROPOLITANA DE SANTIAGO,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
METROPOLITANA DE SANTIAGO,Válidamente Emitidos,,0,"0,00%"
METROPOLITANA DE SANTIAGO,Votos Nulos,,0,"0,00%"
METROPOLITANA DE SANTIAGO,Votos en Blanco,,0,"0,00%"
METROPOLITANA DE SANTIAGO,Total Votación,,0,"0,00%"
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,UNIDAD POR CHILE,,0,"0,00%"
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,Válidamente Emitidos,,0,"0,00%"
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,Votos Nulos,,0,"0,00%"
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,Votos en Blanco,,0,"0,00%"
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,Total Votación,,0,"0,00%"
DEL MAULE,UNIDAD POR CHILE,,0,"0,00%"
DEL MAULE,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DEL MAULE,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DEL MAULE,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DEL MAULE,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DEL MAULE,Válidamente Emitidos,,0,"0,00%"
DEL MAULE,Votos Nulos,,0,"0,00%"
DEL MAULE,Votos en Blanco,,0,"0,00%"
DEL MAULE,Total Votación,,0,"0,00%"
DE ÑUBLE,UNIDAD POR CHILE,,0,"0,00%"
DE ÑUBLE,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DE ÑUBLE,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DE ÑUBLE,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DE ÑUBLE,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
