Región,Lista/Candidato,Partido,Votos,Porcentaje,Fecha Datos
DE ARICA Y PARINACOTA,UNIDAD POR CHILE,,13540,"100,00%",29-06-2025 22:00
DE ARICA Y PARINACOTA,1 GONZALO WINTER ETCHEBERRY,FA,1217,"8,99%",29-06-2025 22:00
DE ARICA Y PARINACOTA,2 JEANNETTE JARA ROMAN,PCCH,7855,"58,01%",29-06-2025 22:00
DE ARICA Y PARINACOTA,3 CAROLINA TOHA MORALES,PPD,3923,"28,97%",29-06-2025 22:00
DE ARICA Y PARINACOTA,4 JAIME MULET MARTINEZ,FREVS,545,"4,03%",29-06-2025 22:00
DE ARICA Y PARINACOTA,Válidamente Emitidos,,13540,"94,32%",29-06-2025 22:00
DE ARICA Y PARINACOTA,Votos Nulos,,607,"4,23%",29-06-2025 22:00
DE ARICA Y PARINACOTA,Votos en Blanco,,209,"1,46%",29-06-2025 22:00
DE ARICA Y PARINACOTA,Total Votación,,14356,"100,00%",29-06-2025 22:00
DE TARAPACA,UNIDAD POR CHILE,,16267,"100,00%",29-06-2025 22:00
DE TARAPACA,1 GONZALO WINTER ETCHEBERRY,FA,1677,"10,31%",29-06-2025 22:00
DE TARAPACA,2 JEANNETTE JARA ROMAN,PCCH,9514,"58,49%",29-06-2025 22:00
DE TARAPACA,3 CAROLINA TOHA MORALES,PPD,4349,"26,74%",29-06-2025 22:00
DE TARAPACA,4 JAIME MULET MARTINEZ,FREVS,727,"4,47%",29-06-2025 22:00
DE TARAPACA,Válidamente Emitidos,,16267,"94,31%",29-06-2025 22:00
DE TARAPACA,Votos Nulos,,705,"4,09%",29-06-2025 22:00
DE TARAPACA,Votos en Blanco,,276,"1,60%",29-06-2025 22:00
DE TARAPACA,Total Votación,,17248,"100,00%",29-06-2025 22:00
DE ANTOFAGASTA,UNIDAD POR CHILE,,34382,"100,00%",29-06-2025 22:00
DE ANTOFAGASTA,1 GONZALO WINTER ETCHEBERRY,FA,3367,"9,79%",29-06-2025 22:00
DE ANTOFAGASTA,2 JEANNETTE JARA ROMAN,PCCH,19893,"57,86%",29-06-2025 22:00
DE ANTOFAGASTA,3 CAROLINA TOHA MORALES,PPD,9300,"27,05%",29-06-2025 22:00
DE ANTOFAGASTA,4 JAIME MULET MARTINEZ,FREVS,1822,"5,30%",29-06-2025 22:00
DE ANTOFAGASTA,Válidamente Emitidos,,34382,"93,33%",29-06-2025 22:00
